part,tag,mode,N,fanout,ttl,seed,base_port,msg_id,run_dir
part2,part2,push,10,3,8,50,27252,d7f49d0d-f820-4d60-a426-50efa36aa321,results_production/part2_n_scaling/logs/push/run_part2_N10_F3_T8_seed50_push_1772111442504
part2,part2,push,10,3,8,51,49882,ba9ea4c1-6b9d-436c-a466-8dc954317707,results_production/part2_n_scaling/logs/push/run_part2_N10_F3_T8_seed51_push_1772111477582
part2,part2,push,10,3,8,52,48906,dc43173e-0384-4284-8af0-046b3817692e,results_production/part2_n_scaling/logs/push/run_part2_N10_F3_T8_seed52_push_1772111512652
part2,part2,push,10,3,8,53,32464,bd8a7461-c91b-4441-852c-d075db22194b,results_production/part2_n_scaling/logs/push/run_part2_N10_F3_T8_seed53_push_1772111547724
part2,part2,push,10,3,8,54,39093,8e1be427-bd14-45e9-88be-f1ab4a702bc8,results_production/part2_n_scaling/logs/push/run_part2_N10_F3_T8_seed54_push_1772111582801
part2,part2,push,20,3,8,50,48462,60b09e9b-130e-47ee-b63d-f35dc706757b,results_production/part2_n_scaling/logs/push/run_part2_N20_F3_T8_seed50_push_1772111617867
part2,part2,push,20,3,8,51,12549,e79b798c-a1cd-4a11-a240-c8e68b670271,results_production/part2_n_scaling/logs/push/run_part2_N20_F3_T8_seed51_push_1772111653102
part2,part2,push,20,3,8,52,33764,3bd1bbe5-3ed8-40ca-ae9e-834c2f33d6c0,results_production/part2_n_scaling/logs/push/run_part2_N20_F3_T8_seed52_push_1772111688291
part2,part2,push,20,3,8,53,22408,202ef71e-3ee4-4384-95b8-1a391ed1773e,results_production/part2_n_scaling/logs/push/run_part2_N20_F3_T8_seed53_push_1772111723473
part2,part2,push,20,3,8,54,41959,cc1ad344-5ba3-454a-9693-51be82fddf5b,results_production/part2_n_scaling/logs/push/run_part2_N20_F3_T8_seed54_push_1772111758592
part2,part2,push,50,3,8,50,33732,0d0632e1-dadf-4684-8f5a-e258ea7039f4,results_production/part2_n_scaling/logs/push/run_part2_N50_F3_T8_seed50_push_1772111793755
part2,part2,push,50,3,8,51,28035,533d1eb3-cf48-4ee1-90f8-b1497d122640,results_production/part2_n_scaling/logs/push/run_part2_N50_F3_T8_seed51_push_1772111829241
part2,part2,push,50,3,8,52,44259,0eaf643c-1165-473a-98e2-5c3b3ee51039,results_production/part2_n_scaling/logs/push/run_part2_N50_F3_T8_seed52_push_1772111864857
part2,part2,push,50,3,8,53,29800,d653a934-2099-4847-b88e-19f7077591de,results_production/part2_n_scaling/logs/push/run_part2_N50_F3_T8_seed53_push_1772111900362
part2,part2,push,50,3,8,54,32430,d708fa0d-cb09-4cad-b961-06d3099a4df5,results_production/part2_n_scaling/logs/push/run_part2_N50_F3_T8_seed54_push_1772111935882
part2,part2,hybrid,10,3,8,50,44702,6c6649e9-1f86-4851-af7e-029ff4e0e314,results_production/part2_n_scaling/logs/hybrid/run_part2_N10_F3_T8_seed50_hybrid_1772111971387
part2,part2,hybrid,10,3,8,51,19811,53b9cc52-995f-44d6-a308-c65febff38da,results_production/part2_n_scaling/logs/hybrid/run_part2_N10_F3_T8_seed51_hybrid_1772112006471
part2,part2,hybrid,10,3,8,52,49380,95e6d543-eca5-4f4d-9415-9425e5e1eae8,results_production/part2_n_scaling/logs/hybrid/run_part2_N10_F3_T8_seed52_hybrid_1772112041567
part2,part2,hybrid,10,3,8,53,47632,eb51f197-3c7e-45b0-8990-27b744c7d37d,results_production/part2_n_scaling/logs/hybrid/run_part2_N10_F3_T8_seed53_hybrid_1772112076646
part2,part2,hybrid,10,3,8,54,42536,87b36947-f99e-4f7a-8058-44ca6c55f591,results_production/part2_n_scaling/logs/hybrid/run_part2_N10_F3_T8_seed54_hybrid_1772112111724
part2,part2,hybrid,20,3,8,50,24552,9950a0b8-ae2b-4865-b754-5b234054a9d2,results_production/part2_n_scaling/logs/hybrid/run_part2_N20_F3_T8_seed50_hybrid_1772112146806
part2,part2,hybrid,20,3,8,51,28591,f74e4500-47fa-489b-9efc-19f63c88d0a2,results_production/part2_n_scaling/logs/hybrid/run_part2_N20_F3_T8_seed51_hybrid_1772112182022
part2,part2,hybrid,20,3,8,52,15706,fd0cc297-547d-47ed-af2d-96944384ff88,results_production/part2_n_scaling/logs/hybrid/run_part2_N20_F3_T8_seed52_hybrid_1772112217209
part2,part2,hybrid,20,3,8,53,26767,027f2774-6ef3-4c7b-ba25-1dd7c95ce6b7,results_production/part2_n_scaling/logs/hybrid/run_part2_N20_F3_T8_seed53_hybrid_1772112252400
part2,part2,hybrid,20,3,8,54,27447,add935fb-d089-4284-88b4-b24ce5b09d4d,results_production/part2_n_scaling/logs/hybrid/run_part2_N20_F3_T8_seed54_hybrid_1772112287589
part2,part2,hybrid,50,3,8,50,12225,95403bb0-3f7b-4496-ab9c-07810538e973,results_production/part2_n_scaling/logs/hybrid/run_part2_N50_F3_T8_seed50_hybrid_1772112322781
part2,part2,hybrid,50,3,8,51,44836,a0f09c65-982c-4aa0-97f8-9baf81abca06,results_production/part2_n_scaling/logs/hybrid/run_part2_N50_F3_T8_seed51_hybrid_1772112358262
part2,part2,hybrid,50,3,8,52,36420,9afca346-5c6b-4f32-8489-951e91218adf,results_production/part2_n_scaling/logs/hybrid/run_part2_N50_F3_T8_seed52_hybrid_1772112393781
part2,part2,hybrid,50,3,8,53,42202,520b74f7-e026-4cbf-97c3-0a9258a6202f,results_production/part2_n_scaling/logs/hybrid/run_part2_N50_F3_T8_seed53_hybrid_1772112429256
part2,part2,hybrid,50,3,8,54,26996,5ac07b78-d44c-4b71-9bdd-313bea2f31d4,results_production/part2_n_scaling/logs/hybrid/run_part2_N50_F3_T8_seed54_hybrid_1772112464778
part3_ttl,part3ttl,push,50,3,4,50,27353,23c48eba-26fd-4171-8afc-d3cf25ad600e,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T4_seed50_push_1772112500186
part3_ttl,part3ttl,push,50,3,4,51,38747,35f39b6d-88f9-43d3-806b-535f2d9ba831,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T4_seed51_push_1772112535689
part3_ttl,part3ttl,push,50,3,4,52,12446,f823ab4e-6a8e-4226-83f2-14d22b1b24dd,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T4_seed52_push_1772112571202
part3_ttl,part3ttl,push,50,3,4,53,22239,149a1ff2-66be-4f75-9629-b289cc98bf52,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T4_seed53_push_1772112606632
part3_ttl,part3ttl,push,50,3,4,54,23566,8d47ccff-191a-4902-bc45-c7b5c2201612,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T4_seed54_push_1772112642128
part3_ttl,part3ttl,push,50,3,8,50,47650,3284440f-2eff-42ab-8eb3-1db4d8c96a1e,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T8_seed50_push_1772112677527
part3_ttl,part3ttl,push,50,3,8,51,33964,8f8e51e8-eb51-488c-a586-ff7e94eabb41,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T8_seed51_push_1772112712980
part3_ttl,part3ttl,push,50,3,8,52,21812,b3c25c74-6b5c-41be-b29c-9adf82783fc3,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T8_seed52_push_1772112748445
part3_ttl,part3ttl,push,50,3,8,53,34123,b7406f73-5a4e-415f-ab01-7e3239fd2ce5,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T8_seed53_push_1772112783976
part3_ttl,part3ttl,push,50,3,8,54,32382,b32ffa39-6d06-480c-b4c2-b50de3fcd6fc,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T8_seed54_push_1772112819436
part3_ttl,part3ttl,push,50,3,12,50,34123,3eb79216-58f5-418b-be65-a5e431ec63bd,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T12_seed50_push_1772112854954
part3_ttl,part3ttl,push,50,3,12,51,23058,365b2331-9890-4087-aafb-accb53e4a609,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T12_seed51_push_1772112890465
part3_ttl,part3ttl,push,50,3,12,52,26703,2384c4a8-7a04-48e9-acf2-8fa855e19380,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T12_seed52_push_1772112926038
part3_ttl,part3ttl,push,50,3,12,53,30469,7229c83a-b545-4d0d-9199-318727e9901d,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T12_seed53_push_1772112961600
part3_ttl,part3ttl,push,50,3,12,54,40866,8c9de535-ca59-4555-a94c-94aabea95465,results_production/part3_push_ttl_fanout/logs/ttl_sweep/run_part3ttl_N50_F3_T12_seed54_push_1772112997113
part3_fanout,part3fan,push,50,2,8,50,46641,83a1f5e1-569e-40a6-bb1d-f7f32e2e1b6f,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed50_push_1772113032615
part3_fanout,part3fan,push,50,2,8,51,48409,b90faede-d246-412b-8e66-7a18335c5381,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed51_push_1772113068163
part3_fanout,part3fan,push,50,2,8,52,32490,c7f81da7-341c-424b-9ff2-82accb770cb8,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed52_push_1772113103724
part3_fanout,part3fan,push,50,2,8,53,42329,9a8bf1be-f20e-45a2-811b-5c0cf8ee51a7,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed53_push_1772113139243
part3_fanout,part3fan,push,50,2,8,54,29259,857a7df5-18a0-48bd-83c3-84e0d6adb2b4,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed54_push_1772113174829
part3_fanout,part3fan,push,50,3,8,50,33836,ec063c64-2adc-430e-8f47-306c945b32a7,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed50_push_1772113210359
part3_fanout,part3fan,push,50,3,8,51,38111,bfa21280-92e1-46fc-990e-c464822e148a,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed51_push_1772113245853
part3_fanout,part3fan,push,50,3,8,52,28009,ab20993e-1ae4-4ca5-afca-435321c9da00,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed52_push_1772113281367
